timestamps,humidity,temperature,12HrsHighTemp,12HrsHighHumid
1600070768.0,93.3,32.4,0,0
1600071068.0,93.0,33.0,0,0
1600071368.0,91.9,33.5,0,0
1600071668.0,91.6,33.8,0,0
1600071968.0,91.3,34.0,0,0
1600072268.0,90.3,34.1,0,0
1600072568.0,90.3,34.0,0,0
1600072869.0,89.5,34.0,0,0
1600073169.0,90.0,33.9,0,0
1600073469.0,90.4,33.8,0,0
1600073769.0,90.6,33.7,0,0
1600074069.0,91.2,33.6,0,0
1600074369.0,90.4,33.4,0,0
1600074669.0,90.8,33.3,0,0
1600074969.0,91.1,33.1,0,0
1600075269.0,91.8,32.9,0,0
1600075569.0,92.5,32.7,0,0
1600075869.0,93.1,32.5,0,0
1600076169.0,93.7,32.3,0,0
1600076469.0,94.0,32.2,0,0
1600076769.0,94.0,32.1,0,0
1600077069.0,94.3,32.1,0,0
1600077369.0,94.4,32.0,0,0
1600077669.0,94.3,31.9,0,0
1600077969.0,94.3,31.8,0,0
1600078269.0,94.2,31.8,0,0
1600078569.0,94.3,31.7,0,0
1600078869.0,94.2,31.6,0,0
1600079169.0,94.2,31.6,0,0
1600079469.0,94.1,31.6,0,0
1600079769.0,94.1,31.5,0,0
1600080069.0,94.1,31.5,0,0
1600080369.0,94.0,31.4,0,0
1600080669.0,94.0,31.4,0,0
1600080969.0,94.1,31.4,0,0
1600081269.0,93.8,31.4,0,0
1600081569.0,93.9,31.3,0,0
1600081869.0,93.8,31.3,0,0
1600082169.0,94.0,31.3,0,0
1600082469.0,94.0,31.2,0,0
1600082769.0,93.8,31.2,0,0
1600083069.0,93.8,31.1,0,0
1600083369.0,93.8,31.1,0,0
1600083669.0,94.0,31.1,0,0
1600083969.0,93.8,31.1,0,0
1600084269.0,93.8,31.0,0,0
1600084569.0,94.0,31.0,0,0
1600084869.0,93.6,31.0,0,0
1600085169.0,93.6,31.0,0,0
1600085469.0,93.6,31.0,0,0
1600085769.0,93.6,31.0,0,0
1600086069.0,93.6,30.9,0,0
1600086369.0,93.5,30.9,0,0
1600086669.0,93.6,30.9,0,0
1600086969.0,93.8,30.8,0,0
1600087269.0,93.8,30.8,0,0
1600087569.0,93.77499999999999,30.7875,0,0
1600087869.0,93.75,30.775,0,0
1600088169.0,93.725,30.7625,0,0
1600088469.0,93.69999999999999,30.75,0,0
1600088769.0,93.675,30.7375,0,0
1600089069.0,93.64999999999999,30.725,0,0
1600089369.0,93.625,30.7125,0,0
1600089669.0,93.6,30.7,0,0
1600089969.0,93.5,30.6,0,0
1600090269.0,93.4,30.6,0,0
1600090569.0,93.5,30.6,0,0
1600090869.0,93.2,30.6,0,0
1600091169.0,93.4,30.5,0,0
1600091469.0,93.5,30.5,0,0
1600091769.0,93.5,30.5,0,0
1600092069.0,93.4,30.4,0,0
1600092369.0,93.3,30.4,0,0
1600092669.0,93.4,30.4,0,0
1600092969.0,93.4,30.4,0,0
1600093269.0,93.4,30.4,0,0
1600093569.0,93.4,30.3,0,0
1600093869.0,93.5,30.3,0,0
1600094169.0,93.5,30.3,0,0
1600094469.0,93.3,30.2,0,0
1600094769.0,93.5,30.2,0,0
1600095069.0,93.4,30.2,0,0
1600095369.0,93.5,30.2,0,0
1600095669.0,93.2,30.2,0,0
1600095969.0,93.2,30.2,0,0
1600096269.0,93.2,30.2,0,0
1600096569.0,93.1,30.2,0,0
1600096869.0,93.2,30.2,0,0
1600097169.0,93.3,30.2,0,0
1600097469.0,93.2,30.1,0,0
1600097769.0,93.2,30.1,0,0
1600098069.0,93.2,30.1,0,0
1600098369.0,93.3,30.0,0,0
1600098669.0,93.2,30.0,0,0
1600098969.0,93.2,30.0,0,0
1600099269.0,93.3,30.0,0,0
1600099569.0,93.2,29.9,0,0
1600099869.0,93.2,29.9,0,0
1600100169.0,93.3,29.9,0,0
1600100469.0,93.3,29.9,0,0
1600100769.0,93.4,29.9,0,0
1600101069.0,93.3,29.9,0,0
1600101369.0,93.4,29.8,0,0
