timestamps,humidity,temperature,12HrsHighTemp,12HrsHighHumid
1600060064.0,82.9,29.4,0,0
1600060364.0,81.8,29.9,0,0
1600060664.0,80.6,30.0,0,0
1600060964.0,81.1,30.1,0,0
1600061264.0,78.2,30.2,0,0
1600061564.0,79.6,30.3,0,0
1600061864.0,80.2,30.6,0,0
1600062164.0,77.7,30.9,0,0
1600062464.0,73.2,31.5,0,0
1600062764.0,71.4,32.2,0,0
1600063064.0,72.8,32.6,0,0
1600063364.0,69.0,33.0,0,0
1600063664.0,73.0,33.0,0,0
1600063964.0,72.4,32.6,0,0
1600064264.0,74.9,32.0,0,0
1600064564.0,75.7,31.4,0,0
1600064864.0,76.4,31.0,0,0
1600065164.0,77.9,30.7,0,0
1600065464.0,77.8,30.6,0,0
1600065764.0,77.7,30.6,0,0
1600066064.0,78.4,30.8,0,0
1600066364.0,75.8,31.0,0,0
1600066664.0,74.3,31.4,0,0
1600066964.0,74.1,31.9,0,0
1600067264.0,72.9,32.1,0,0
1600067564.0,72.7,32.4,0,0
1600067864.0,72.7,32.4,0,0
1600068164.0,70.7,32.5,0,0
1600068464.0,70.7,32.4,0,0
1600068764.0,70.1,32.5,0,0
1600069064.0,70.6,32.3,0,0
1600069364.0,70.9,32.3,0,0
1600069664.0,69.5,32.1,0,0
1600069964.0,69.7,32.1,0,0
1600070264.0,69.9,31.9,0,0
1600070564.0,69.8,32.0,0,0
1600070864.0,67.3,32.3,0,0
1600071164.0,67.9,32.5,0,0
1600071464.0,68.6,32.6,0,0
1600071764.0,70.0,32.6,0,0
1600072064.0,68.8,32.6,0,0
1600072364.0,68.6,32.5,0,0
1600072664.0,68.4,32.6,0,0
1600072964.0,68.4,32.4,0,0
1600073264.0,68.6,32.4,0,0
1600073564.0,69.9,32.3,0,0
1600073864.0,69.5,32.1,0,0
1600074164.0,69.2,32.1,0,0
1600074464.0,69.3,32.0,0,0
1600074764.0,70.2,31.8,0,0
1600075064.0,70.4,31.7,0,0
1600075364.0,71.2,31.6,0,0
1600075664.0,72.1,31.5,0,0
1600075964.0,72.4,31.4,0,0
1600076264.0,72.3,31.5,0,0
1600076564.0,71.6,31.6,0,0
1600076864.0,70.9,31.8,0,0
1600077164.0,70.2,31.9,0,0
1600077464.0,70.1,31.9,0,0
1600077765.0,69.6,31.9,0,0
1600078065.0,69.3,31.9,0,0
1600078365.0,69.3,31.9,0,0
1600078665.0,68.7,31.9,0,0
1600078965.0,68.6,31.9,0,0
1600079265.0,68.3,31.9,0,0
1600079565.0,68.2,31.9,0,0
1600079865.0,68.2,31.8,0,0
1600080165.0,68.0,31.8,0,0
1600080465.0,67.8,31.8,0,0
1600080765.0,68.2,31.7,0,0
1600081065.0,68.2,31.7,0,0
1600081365.0,68.0,31.7,0,0
1600081665.0,67.9,31.6,0,0
1600081965.0,67.8,31.6,0,0
1600082265.0,68.1,31.6,0,0
1600082565.0,68.0,31.5,0,0
1600082865.0,68.0,31.5,0,0
1600083165.0,67.9,31.5,0,0
1600083465.0,68.0,31.5,0,0
1600083765.0,67.9,31.4,0,0
1600084065.0,67.7,31.4,0,0
1600084365.0,67.6,31.4,0,0
1600084665.0,67.5,31.4,0,0
1600084965.0,67.5,31.3,0,0
1600085265.0,67.8,31.3,0,0
1600085565.0,67.6,31.3,0,0
1600085865.0,67.6,31.3,0,0
1600086165.0,67.6,31.2,0,0
1600086465.0,67.6,31.2,0,0
1600086765.0,67.6,31.2,0,0
1600087065.0,67.7,31.2,0,0
1600087365.0,67.9,31.2,0,0
1600087665.0,67.6,31.1,0,0
1600087965.0,67.6,31.1,0,0
1600088265.0,67.6,31.1,0,0
1600088565.0,67.4,31.1,0,0
1600088865.0,67.7,31.0,0,0
1600089165.0,67.4,31.0,0,0
1600089465.0,67.5,31.0,0,0
1600089765.0,67.6,31.0,0,0
1600090065.0,67.9,30.9,0,0
1600090365.0,67.3,30.9,0,0
1600090665.0,67.5,30.9,0,0
1600090965.0,67.3,30.9,0,0
1600091265.0,67.4,30.9,0,0
1600091565.0,67.3,30.8,0,0
1600091865.0,67.3,30.8,0,0
1600092165.0,67.5,30.8,0,0
1600092465.0,67.3,30.8,0,0
1600092765.0,67.5,30.7,0,0
1600093065.0,67.5,30.7,0,0
1600093365.0,67.4,30.7,0,0
1600093665.0,67.4,30.7,0,0
1600093965.0,67.2,30.6,0,0
1600094265.0,67.6,30.6,0,0
1600094565.0,67.6,30.6,0,0
1600094865.0,67.4,30.6,0,0
1600095165.0,67.4,30.5,0,0
