第n次,test_acc,True Positive,True Negative,False Positive,False Negative,Precision,Recall,,
,,,,,,,,,
第n次,test_acc,True Positive,True Negative,False Positive,False Negative,Precision,Recall,,
,,,,,,,,,
第n次,test_acc,True Positive,True Negative,False Positive,False Negative,Precision,Recall,,
,,,,,,,,,
第n次,test_acc,True Positive,True Negative,False Positive,False Negative,Precision_1,Recall_1,Precision_0,Recall_0
,,,,,,,,,
1,0.75,2,4,0,2,1,0.5,0.666666667,1
,,,,,,,,,
2,0.625,1,4,0,3,1,0.25,0.571428571,1
,,,,,,,,,
3,0.5,3,1,3,1,0.5,0.75,0.5,0.25
,,,,,,,,,
4,0.75,2,4,0,2,1,0.5,0.666666667,1
,,,,,,,,,
5,0.75,2,4,0,2,1,0.5,0.666666667,1
,,,,,,,,,
6,0.875,3,4,0,1,1,0.75,0.8,1
,,,,,,,,,
7,0.75,2,4,0,2,1,0.5,0.666666667,1
,,,,,,,,,
8,0.875,4,3,1,0,0.8,1,1,0.75
,,,,,,,,,
9,0.625,2,3,1,2,0.666666667,0.5,0.6,0.75
,,,,,,,,,
10,0.625,2,3,1,2,0.666666667,0.5,0.6,0.75
