Unix Time Stamps,Recently Dead,No.plant
1603036800,1,631
1602518400,0,631
1602432000,0,631
1602345600,0,631
1602172800,0,631
1602086400,0,631
1602000000,0,631
1601913600,0,631
1601827200,0,631
1601740800,0,631
1601654400,0,631
1601568000,0,631
1601222400,1,631
1600963200,0,631
1600876800,0,631
1600272000,1,631
1599840000,0,631
1599753600,0,631
1599667200,0,631
1598371200,1,631
1603641600,1,742
1603209600,1,742
1602432000,1,742
1602000000,1,742
1601827200,1,742
1601568000,1,742
1601222400,1,742
1600963200,0,742
1600876800,0,742
1600790400,0,742
1600444800,1,742
1600185600,1,742
1600012800,1,742
1599667200,1,742
1599408000,1,742
1598889600,1,742
1598630400,1,742
1603382400,1,701
1600963200,0,701
1600876800,1,701
1600704000,1,701
1600617600,1,701
1602000000,1,759
1600617600,1,759
1603728000,1,765
1603036800,1,765
1602777600,1,765
1601827200,1,765
1601568000,1,765
1600876800,1,765
1600617600,1,765
1603036800,0,698
1602777600,0,698
1602432000,0,698
1602259200,0,698
1602086400,0,698
1601827200,0,698
1601222400,1,698
