timestamps,humidity,temperature,12HrsHighTemp,12HrsHighHumid
1600060582.0,79.2,30.2,0,0
1600060882.0,79.7,30.4,0,0
1600061182.0,78.1,30.6,0,0
1600061482.0,80.1,30.7,0,0
1600061782.0,78.8,30.9,0,0
1600062082.0,76.3,31.1,0,0
1600062382.0,75.9,31.5,0,0
1600062682.0,73.3,32.0,0,0
1600062982.0,73.2,32.5,0,0
1600063282.0,69.6,32.8,0,0
1600063583.0,73.0,33.0,0,0
1600063883.0,73.4,32.7,0,0
1600064183.0,76.5,32.2,0,0
1600064483.0,75.8,31.9,0,0
1600064783.0,75.4,31.5,0,0
1600065083.0,77.7,31.3,0,0
1600065383.0,77.0,31.1,0,0
1600065683.0,76.5,31.1,0,0
1600065983.0,78.5,31.2,0,0
1600066283.0,75.8,31.3,0,0
1600066583.0,76.7,31.5,0,0
1600066883.0,73.4,31.8,0,0
1600067183.0,74.4,32.1,0,0
1600067483.0,71.3,32.3,0,0
1600067783.0,74.5,32.4,0,0
1600068083.0,73.25,32.55,0,0
1600068383.0,72.0,32.7,0,0
1600068683.0,69.2,32.8,0,0
1600068983.0,71.1,32.7,0,0
1600069283.0,70.82,32.6,0,0
1600069583.0,70.53999999999999,32.5,0,0
1600069883.0,70.26,32.400000000000006,0,0
1600070183.0,69.98,32.300000000000004,0,0
1600070483.0,69.7,32.2,0,0
1600070783.0,67.3,32.5,0,0
1600071083.0,67.1,33.2,0,0
1600071383.0,65.9,33.7,0,0
1600071683.0,65.8,34.1,0,0
1600071983.0,65.3,34.3,0,0
1600072283.0,64.4,34.4,0,0
1600072583.0,64.5,34.3,0,0
1600072883.0,63.9,34.3,0,0
1600073183.0,64.6,34.2,0,0
1600073483.0,65.0,34.1,0,0
1600073783.0,64.7,34.0,0,0
1600074083.0,66.0,33.8,0,0
1600074383.0,65.0,33.7,0,0
1600074683.0,65.9,33.5,0,0
1600074983.0,66.2,33.3,0,0
1600075283.0,67.2,33.2,0,0
1600075583.0,67.9,32.9,0,0
1600075883.0,68.7,32.7,0,0
1600076183.0,69.5,32.5,0,0
1600076483.0,70.0,32.4,0,0
1600076783.0,70.0,32.3,0,0
1600077083.0,69.9,32.3,0,0
1600077383.0,69.8,32.2,0,0
1600077683.0,69.8,32.2,0,0
1600077983.0,69.7,32.1,0,0
1600078283.0,69.8,32.1,0,0
1600078583.0,69.8,32.0,0,0
1600078883.0,69.5,31.9,0,0
1600079183.0,69.5,31.9,0,0
1600079483.0,69.4,31.9,0,0
1600079783.0,69.4,31.8,0,0
1600080083.0,69.4,31.8,0,0
1600080383.0,69.3,31.7,0,0
1600080683.0,69.3,31.7,0,0
1600080983.0,69.3,31.6,0,0
1600081283.0,69.1,31.6,0,0
1600081583.0,69.4,31.6,0,0
1600081883.0,69.4,31.5,0,0
1600082183.0,69.4,31.5,0,0
1600082483.0,69.3,31.4,0,0
1600082783.0,69.2,31.4,0,0
1600083083.0,69.2,31.3,0,0
1600083383.0,69.3,31.3,0,0
1600083683.0,69.6,31.3,0,0
1600083983.0,69.4,31.3,0,0
1600084283.0,69.2,31.2,0,0
1600084583.0,69.4,31.2,0,0
1600084883.0,69.1,31.2,0,0
1600085183.0,69.2,31.2,0,0
1600085483.0,69.2,31.2,0,0
1600085783.0,69.0,31.1,0,0
1600086083.0,69.1,31.1,0,0
1600086383.0,69.1,31.1,0,0
1600086683.0,69.3,31.1,0,0
1600086983.0,69.4,31.1,0,0
1600087283.0,69.2,30.9,0,0
1600087583.0,68.9,30.9,0,0
1600087883.0,69.1,30.9,0,0
1600088183.0,69.2,30.9,0,0
1600088483.0,69.3,30.9,0,0
1600088783.0,69.2,30.9,0,0
1600089083.0,69.0,30.9,0,0
1600089383.0,69.0,30.8,0,0
1600089683.0,69.3,30.8,0,0
1600089983.0,69.1,30.8,0,0
1600090283.0,69.0,30.8,0,0
1600090583.0,69.2,30.8,0,0
1600090883.0,68.7,30.7,0,0
1600091183.0,69.1,30.7,0,0
1600091483.0,69.1,30.7,0,0
1600091783.0,69.3,30.7,0,0
1600092083.0,69.2,30.6,0,0
1600092383.0,68.9,30.6,0,0
1600092683.0,69.1,30.6,0,0
1600092983.0,69.1,30.6,0,0
1600093283.0,68.8,30.5,0,0
1600093583.0,69.2,30.5,0,0
1600093883.0,69.1,30.5,0,0
1600094183.0,69.0,30.4,0,0
1600094483.0,68.8,30.4,0,0
1600094783.0,68.85,30.4,0,0
1600095083.0,68.9,30.4,0,0
1600095383.0,69.0,30.4,0,0
1600095683.0,68.9,30.4,0,0
1600095983.0,68.8,30.4,0,0
1600096283.0,68.6,30.3,0,0
1600096583.0,68.5,30.3,0,0
1600096883.0,68.54285714285714,30.27857142857143,0,0
1600097183.0,68.58571428571429,30.257142857142856,0,0
1600097483.0,68.62857142857143,30.235714285714288,0,0
1600097783.0,68.67142857142856,30.214285714285715,0,0
1600098083.0,68.71428571428571,30.192857142857143,0,0
1600098383.0,68.75714285714285,30.17142857142857,0,0
1600098683.0,68.8,30.15,0,0
1600098983.0,68.84285714285714,30.12857142857143,0,0
1600099283.0,68.88571428571429,30.107142857142858,0,0
1600099583.0,68.92857142857143,30.085714285714285,0,0
1600099883.0,68.97142857142856,30.064285714285713,0,0
1600100183.0,69.0142857142857,30.042857142857144,0,0
1600100483.0,69.05714285714285,30.021428571428572,0,0
1600100783.0,69.1,30.0,0,0
1600101083.0,68.9,30.0,0,0
1600101383.0,69.1,30.0,0,0
1600101683.0,68.94999999999999,30.0,0,0
1600101983.0,68.8,30.0,0,0
1600102283.0,69.0,30.0,0,0
1600102583.0,68.8,30.0,0,0
1600102883.0,68.8,30.0,0,0
1600103183.0,68.79090909090908,29.990909090909092,0,0
1600103483.0,68.78181818181818,29.98181818181818,0,0
1600103783.0,68.77272727272727,29.972727272727273,1,0
1600104083.0,68.76363636363637,29.963636363636365,1,0
1600104383.0,68.75454545454545,29.954545454545453,1,0
