Date,Temp,Wet,Light
01-01-2019 00:00:00,27.9,70,0
01-01-2019 00:05:00,27.81,70.93,0
01-01-2019 00:10:00,27.71,71,0
01-01-2019 00:15:00,27.61,71,0
01-01-2019 00:20:00,27.51,71,0
01-01-2019 00:25:00,27.31,71.93,0
01-01-2019 00:30:00,27.21,72,0
01-01-2019 00:35:00,27.2,72,0
01-01-2019 00:40:00,27.11,72.93,0
01-01-2019 00:45:00,27.01,73,0
01-01-2019 00:50:00,26.91,73,0
01-01-2019 00:55:00,26.99,73,0
01-01-2019 01:00:00,26.91,73,0
01-01-2019 01:05:00,26.71,73.93,0
01-01-2019 01:10:00,26.61,74,0
01-01-2019 01:15:00,26.6,74,0
01-01-2019 01:20:00,26.6,74,0
01-01-2019 01:25:00,26.51,74,0
01-01-2019 01:30:00,26.5,74,0
01-01-2019 01:35:00,26.41,74,0
01-01-2019 01:40:00,26.31,74,0
01-01-2019 01:45:00,26.3,74,0
01-01-2019 01:50:00,26.21,74,0
01-01-2019 01:55:00,26.11,74.92,0
01-01-2019 02:00:00,26.1,75,0
01-01-2019 02:05:00,26.01,75,0
01-01-2019 02:10:00,26,75,0
01-01-2019 02:15:00,25.91,75,0
01-01-2019 02:20:00,25.81,75,0
01-01-2019 02:25:00,25.71,75,0
01-01-2019 02:30:00,25.7,75,0
01-01-2019 02:35:00,25.61,75,0
01-01-2019 02:40:00,25.6,75,0
01-01-2019 02:45:00,25.51,75,0
01-01-2019 02:50:00,25.5,75,0
01-01-2019 02:55:00,25.5,75,0
01-01-2019 03:00:00,25.5,74.08,0
01-01-2019 03:05:00,25.41,74,0
01-01-2019 03:10:00,25.4,74,0
01-01-2019 03:15:00,25.4,74,0
01-01-2019 03:20:00,25.49,73.08,0
01-01-2019 03:25:00,25.41,73,0
01-01-2019 03:30:00,25.49,73,0
01-01-2019 03:35:00,25.5,73,0
01-01-2019 03:40:00,25.59,72.08,0
01-01-2019 03:45:00,25.6,72,0
01-01-2019 03:50:00,25.6,72,0
01-01-2019 03:55:00,25.69,72,0
01-01-2019 04:00:00,25.79,71.08,0
01-01-2019 04:05:00,25.8,71,0
01-01-2019 04:10:00,25.8,71,0
01-01-2019 04:15:00,25.8,71,0
01-01-2019 04:20:00,25.89,70.09,0
01-01-2019 04:25:00,25.9,70,0
01-01-2019 04:30:00,25.9,70,0
01-01-2019 04:35:00,25.9,70,0
01-01-2019 04:40:00,25.9,70,0
01-01-2019 04:45:00,25.9,70,0
01-01-2019 04:50:00,25.9,70,0
01-01-2019 04:55:00,25.9,70,0
01-01-2019 05:00:00,25.9,70,0
01-01-2019 05:05:00,25.9,70,0
01-01-2019 05:10:00,25.81,70,0
01-01-2019 05:15:00,25.8,70,0
01-01-2019 05:20:00,25.8,70,0
01-01-2019 05:25:00,25.8,70,0
01-01-2019 05:30:00,25.8,69.09,0
01-01-2019 05:35:00,25.8,69,0
01-01-2019 05:40:00,25.8,69,0
01-01-2019 05:45:00,25.8,69,0
01-01-2019 05:50:00,25.89,69,0
01-01-2019 05:55:00,25.9,69,0
01-01-2019 06:00:00,25.9,69,0
01-01-2019 06:05:00,25.9,69,0
01-01-2019 06:10:00,25.99,68.09,0
01-01-2019 06:15:00,26.09,67.09,0
01-01-2019 06:20:00,26.28,67,0
01-01-2019 06:25:00,26.48,66.09,0
